コード,銘柄名,市場・商品区分
1301,極洋,プライム（内国株式）
1305,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ（年１回決算型）,ETF・ETN
1306,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ連動型上場投信,ETF・ETN
1308,上場インデックスファンドＴＯＰＩＸ,ETF・ETN
1309,ＮＥＸＴ　ＦＵＮＤＳ　ＣｈｉｎａＡＭＣ・中国株式・上証５０連動型上場投信,ETF・ETN
130A,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,グロース（内国株式）
1311,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ　Ｃｏｒｅ　３０連動型上場投信,ETF・ETN
1319,ＮＥＸＴ　ＦＵＮＤＳ　日経３００株価指数連動型上場投信,ETF・ETN
131A,ＣＣＮグループ,PRO Market
1320,ｉＦｒｅｅＥＴＦ　日経２２５（年１回決算型）,ETF・ETN
1321,ＮＥＸＴ　ＦＵＮＤＳ　日経２２５連動型上場投信,ETF・ETN
1322,上場インデックスファンド中国Ａ株（パンダ）Ｅ　Ｆｕｎｄ　ＣＳＩ３００,ETF・ETN
1325,ＮＥＸＴ　ＦＵＮＤＳ　ブラジル株式指数・ボベスパ連動型上場投信,ETF・ETN
1326,ＳＰＤＲゴールド・シェア,ETF・ETN
1328,ＮＥＸＴ　ＦＵＮＤＳ　金価格連動型上場投信,ETF・ETN
1329,ｉシェアーズ・コア　日経２２５　ＥＴＦ,ETF・ETN
132A,アイエヌホールディングス,PRO Market
1330,上場インデックスファンド２２５,ETF・ETN
1332,ニッスイ,プライム（内国株式）
1333,マルハニチロ,プライム（内国株式）
133A,グローバルＸ　超短期米国債　ＥＴＦ,ETF・ETN
1343,ＮＥＸＴ　ＦＵＮＤＳ　東証ＲＥＩＴ　指数連動型上場投信,ETF・ETN
1345,上場インデックスファンドＪリート（東証ＲＥＩＴ指数）隔月分配型,ETF・ETN
1346,ＭＡＸＩＳ　日経２２５上場投信,ETF・ETN
1348,ＭＡＸＩＳ　トピックス上場投信,ETF・ETN
1349,ＡＢＦ汎アジア債券インデックス・ファンド,ETF・ETN
134A,アプライズ,PRO Market
1356,ＴＯＰＩＸベア２倍上場投信,ETF・ETN
1357,ＮＥＸＴ　ＦＵＮＤＳ　日経平均ダブルインバース・インデックス連動型上場投信,ETF・ETN
1358,上場インデックスファンド日経レバレッジ指数,ETF・ETN
135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,グロース（内国株式）
1360,日経平均ベア２倍上場投信,ETF・ETN
1364,ｉシェアーズ　ＪＰＸ日経４００　ＥＴＦ,ETF・ETN
1365,ｉＦｒｅｅＥＴＦ　日経平均レバレッジ・インデックス,ETF・ETN
1366,ｉＦｒｅｅＥＴＦ　日経平均ダブルインバース・インデックス,ETF・ETN
1367,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸレバレッジ（２倍）指数,ETF・ETN
1368,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸダブルインバース（－２倍）指数,ETF・ETN
1369,Ｏｎｅ　ＥＴＦ　日経２２５,ETF・ETN
136A,三興商事,PRO Market
1375,ユキグニファクトリー,プライム（内国株式）
1376,カネコ種苗,スタンダード（内国株式）
1377,サカタのタネ,プライム（内国株式）
1379,ホクト,プライム（内国株式）
137A,Ｃｏｃｏｌｉｖｅ,グロース（内国株式）
1380,秋川牧園,スタンダード（内国株式）
1381,アクシーズ,スタンダード（内国株式）
1382,ホーブ,スタンダード（内国株式）
1383,ベルグアース,スタンダード（内国株式）
1384,ホクリヨウ,スタンダード（内国株式）
138A,光フードサービス,グロース（内国株式）
1397,ＳＭＤＡＭ　日経２２５上場投信,ETF・ETN
1398,ＳＭＤＡＭ　東証ＲＥＩＴ指数上場投信,ETF・ETN
1399,上場インデックスファンドＭＳＣＩ日本株高配当低ボラティリティ,ETF・ETN
139A,東日本地所,PRO Market
1401,エムビーエス,グロース（内国株式）
1407,ウエストホールディングス,スタンダード（内国株式）
140A,ｉＦｒｅｅＥＴＦ　米国１０年国債先物インバース,ETF・ETN
1414,ショーボンドホールディングス,プライム（内国株式）
1417,ミライト・ワン,プライム（内国株式）
1418,インターライフホールディングス,スタンダード（内国株式）
1419,タマホーム,プライム（内国株式）
141A,トライアルホールディングス,グロース（内国株式）
1420,サンヨーホームズ,スタンダード（内国株式）
1429,日本アクア,プライム（内国株式）
142A,ジンジブ,グロース（内国株式）
1430,ファーストコーポレーション,スタンダード（内国株式）
1431,Ｌｉｂ　Ｗｏｒｋ,グロース（内国株式）
1432,動力,PRO Market
1433,ベステラ,プライム（内国株式）
1434,ＪＥＳＣＯホールディングス,スタンダード（内国株式）
1435,ｒｏｂｏｔ　ｈｏｍｅ,スタンダード（内国株式）
1436,グリーンエナジー＆カンパニー,グロース（内国株式）
1438,岐阜造園,スタンダード（内国株式）
143A,イシン,グロース（内国株式）
1443,技研ホールディングス,スタンダード（内国株式）
1444,ニッソウ,グロース（内国株式）
1445,ひかりホールディングス,PRO Market
1446,キャンディル,スタンダード（内国株式）
1447,ＳＡＡＦホールディングス,グロース（内国株式）
144A,エネルギーパワー,PRO Market
