breadth,exit_buffer,sl,tp,max_pos,leverage,bgap,max_hold_days,final,trades,mwr,pf,sharpe,mdd,win_rate,score,return_pct
0.6,0.975,5.0,40.0,10,2.0,0.1,30,528156.6042000001,977,0.14754098360655737,0.8011127465842998,-0.5915662678471261,58.41151968000001,0.4933058702368692,-9990.29,-47.18433957999999
0.6,0.98,5.0,40.0,10,2.0,0.1,30,391911.63467999944,972,0.16393442622950818,0.7393546269239243,-0.7560106381914967,63.54857749200006,0.4793388429752066,-9990.32,-60.80883653200006
0.6,0.98,5.0,40.0,10,2.0,0.12,30,470960.5215000011,968,0.19672131147540983,0.8314010014851417,-0.6635240531101297,58.71065712997474,0.498960498960499,-9990.38,-52.9039478499999
0.5,0.975,5.0,40.0,10,2.0,0.1,30,1250566.749140001,962,0.2786885245901639,1.0555763418874873,0.2968018053508996,32.456063461192116,0.5592515592515592,-9990.38,25.056674914000098
0.5,0.98,5.0,40.0,10,2.0,0.1,30,550492.8997799987,967,0.22950819672131148,0.8455875196816638,-0.4646476142041234,50.38163409835633,0.5026014568158168,-9990.39,-44.95071002200013
0.6,0.975,5.0,40.0,10,1.5,0.1,30,805672.0833199989,946,0.2459016393442623,0.9119379691999192,-0.18757933605834673,34.33672626959453,0.5317124735729387,-9990.54,-19.432791668000103
0.6,0.98,3.0,40.0,10,2.0,0.12,30,430553.9651599981,951,0.18032786885245902,0.7746811506463688,-0.80558911436334,60.705999569547345,0.4857142857142857,-9990.55,-56.94460348400019
0.5,0.98,3.0,40.0,10,2.0,0.1,30,772384.4365999993,945,0.26229508196721313,0.9160298872823134,-0.05327570068881728,57.45414374349874,0.5312169312169313,-9990.55,-22.761556340000066
0.6,0.98,3.0,40.0,10,2.0,0.1,30,516942.6374199983,949,0.18032786885245902,0.802090511832074,-0.7005440617493134,58.82430809800017,0.4915254237288136,-9990.56,-48.30573625800017
0.5,0.975,5.0,40.0,10,2.0,0.12,30,1798351.3675199966,948,0.32786885245901637,1.161076760120766,0.5947113853641408,23.042032656027445,0.5980911983032874,-9990.57,79.83513675199967
0.6,0.975,5.0,40.0,10,2.0,0.12,30,609380.5251000009,948,0.22950819672131148,0.881232218738656,-0.4866498506086053,46.64808039342911,0.5329787234042553,-9990.6,-39.061947489999916
0.5,0.98,3.0,40.0,10,1.5,0.1,30,583494.5101199993,947,0.22950819672131148,0.7937333140946776,-0.7376352755465,46.31616734040321,0.5127659574468085,-9990.6,-41.65054898800007
0.6,0.975,3.0,40.0,10,2.0,0.1,30,440687.14482000045,938,0.16393442622950818,0.7520156149658234,-0.929413023608278,64.61381093199998,0.4904051172707889,-9990.62,-55.93128551799995
0.6,0.975,3.0,40.0,10,1.5,0.12,30,549230.565159998,938,0.19672131147540983,0.7690268913742013,-0.7302622894865773,54.53695775886152,0.5138592750533049,-9990.62,-45.076943484000196
0.6,0.975,3.0,40.0,10,2.0,0.12,30,390745.0643999997,937,0.18032786885245902,0.7417960999296511,-0.9102232908236758,67.75875685585144,0.49413020277481323,-9990.63,-60.925493560000035
0.6,0.98,5.0,40.0,10,1.5,0.12,30,719188.896119999,942,0.2459016393442623,0.872301521267273,-0.3058707697926708,43.57593545694283,0.5096153846153846,-9990.64,-28.0811103880001
0.6,0.98,5.0,40.0,10,1.5,0.1,30,682034.5113999989,940,0.21311475409836064,0.8507077005569292,-0.3699908957367342,45.58241785009717,0.5037433155080214,-9990.65,-31.796548860000108
0.5,0.98,3.0,40.0,10,2.0,0.12,30,515142.7477199999,940,0.21311475409836064,0.8261719961627517,-0.4276019617691079,57.727729239662054,0.5042826552462527,-9990.66,-48.48572522800001
